"id","name","type","created_at","updated_at"
1,"インカレOK","Rule","2016-02-01 02:45:48","2016-02-01 02:45:48"
2,"オールワセダ","Rule","2016-02-01 02:45:48","2016-02-01 02:45:48"
3,"男は早大、女はインカレ","Rule","2016-02-01 02:45:48","2016-02-01 02:45:48"
4,"掛け持ち不可","Rule","2016-02-01 02:45:48","2016-02-01 02:45:48"
5,"掛け持ちＯＫ","Rule","2016-02-01 02:45:48","2016-02-01 02:45:48"
6,"随時入会可能","Rule","2016-02-01 02:45:48","2016-02-01 02:45:48"
7,"社会人OK","Rule","2016-02-01 02:45:48","2016-02-01 02:45:48"
8,"院生OK","Rule","2016-02-01 02:45:48","2016-02-01 02:45:48"
9,"入会審査あり","Rule","2016-02-01 02:45:48","2016-02-01 02:45:48"
10,"冷やかしお断り","Rule","2016-02-01 02:45:48","2016-02-01 02:45:48"
11,"チャラ男不可","Rule","2016-02-01 02:45:48","2016-02-01 02:45:48"
12,"会費なし","Rule","2016-02-01 02:45:48","2016-02-01 02:45:48"
13,"部室あり","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
14,"飲みに自信あり","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
15,"飲みに自信なし","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
16,"イッキ強制なし","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
17,"非レギュラー制","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
18,"真剣にやれる人希望","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
19,"楽しむことが最優先","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
20,"授業優先","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
21,"初心者歓迎","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
22,"経験者歓迎","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
23,"経験者多数","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
24,"完全プロ志向","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
25,"即レギュラー可能","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
26,"実績がウリ","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
27,"将来性あり","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
28,"機材が充実","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
29,"強さが自慢","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
30,"プロの指導あり","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
31,"少数精鋭","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
32,"まったり系","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
33,"サークル内恋愛奨励","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
34,"上下関係なし","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
35,"体育会系","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
36,"来る者拒まず去る者追わず","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
37,"オールイケメン","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
38,"マネージャー歓迎","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
39,"留学生歓迎","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
40,"雀士歓迎","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
41,"コミュ障歓迎","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
42,"オタク歓迎","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
43,"貧乏歓迎","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
44,"喫煙者歓迎","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
45,"留年歓迎","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
46,"多浪歓迎","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
47,"一人暮らし歓迎","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
48,"腐女子歓迎","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
49,"コネバイトあり","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
50,"就職に有利","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
51,"テスト時有利","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
52,"合コン多数あり","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
53,"イベント多数","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
54,"いわゆる12大サークル","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
55,"もっと評価されるべき","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
56,"2015年度新設","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
57,"2016年度新設(予定)","Appeal","2016-02-01 02:46:31","2016-02-01 02:46:31"
